aggiungere,2,[Human] aggiungere : [Proposition] | che [Proposition]
aggiungere,3,[Human] aggiungere [Anything] | che [Proposition]
ammettere,1,[Human] | [Institution] ammettere ([Activity {errori | sbagli | malefatte}] | [Responsibility]) | che | di [Proposition]
annotare,1,[Human] | [Device] annotare [Information] | [Number] | [Proposition]
annotare,2,[Human] annotare che [Preposition] : [Proposition]
annunciare,1,[Human1] | [Institution] annunciare [Event] | che | di [Proposition] (a [Human2])
annunciare,1.m,[Document] | [Part of Language] | [Sound] | [Sound Maker {campana | altoparlante}] annunciare [Event] | che | di [Proposition]
apprendere,3,[Human] apprendere [Information] | che [Proposition]
assicurare,2,[Human] assicurare : [Proposition] | che [Proposition]
assicurare,3,[Human] | [Institution] assicurarsi che | di [Proposition]
assumere,4,si assume che | di [Proposition]
avvertire,1,[Human1] | [Institution] | [Signal] avvertire ([Human2]) (di|su [Anything]) | (che | di [Proposition]) | (: [Proposition])
avvertire,2,[Human1] avvertire [Human2] (che [Proposition])
avvisare,1,[Human1] | [Human Group1] avvisare ([Human2] | [Human Group2] | [Medium]) di [Eventuality] | che | di [Proposition]
avvisare,2,[Human1] | [Institution] avvisare ([Human2]) (di [Eventuality]) | (che [Proposition]) | (: [Proposition])
avvisare,3,[Signal] | [Device] | {programma | sistema} avvisare [Human] (di [Eventuality]) | (che [Proposition])
azzardare,3,[Human] azzardare [Speech Act] | : [Proposition] | che [Proposition]
bastare,2,basta | basti che [Proposition] | [Proposition]
bastare,3,basta | basti [Proposition]
bisbigliare,1,[Human] bisbigliare [Proposition] | [Part of Language] | : [Proposition]
bisognare,1,bisogna che [Proposition] | [Proposition]
borbottare,2,[Human] borbottare [Proposition] | che [Proposition] | : [Proposition]
brontolare,1,[Human] brontolare [Proposition] | che [Proposition] | : [Proposition]
buttare,10,[Human] buttare lì | là | giù [Proposition] | [Part of Language]
capire,1,[Human] capire [Concept] | di [Proposition] | che|come|perché|cosa [Proposition]
chiarire,1,[Physical Entity] | [Abstract Entity1] | [Eventuality1] chiarire [Abstract Entity2] | [Eventuality2] | che [Proposition]
chiedere,1,[Human1] | [Human Group 1] chiedere [Proposition] che|se | di [Proposition] | : [Proposition] (a [Human2] | a [Human Group2])
chiedere,3,[Human] chiedersi se [Proposition] | : [Proposition]
citare,2,[Human] citare [Document] | [Proposition]
collegare,11,[Human] collegarsi a [Proposition]
comandare,1,[Human1] comandare [Proposition] che | di a [Proposition] a [Human2]
comprendere,1,[Human] comprendere [Abstract Entity {ragione | significato}] | che [Proposition]
comunicare,1,[Human1] | [Institution1] comunicare (a [Human2] | a [Institution2]) [Information] | che | di [Proposition]
concludere,2,[Human] concludere che [Proposition]
confermare,1,[Human] | [Institution] confermare [Eventuality] | [Property] | [Concept] | che | di [Proposition]
credere,1,[Human] credere (che | di [Proposition])
decretare,1,[Human] | [Institution] | [Rule1] decretare [Rule2] | [Eventuality] | che | di [Proposition] : [Proposition]
dettare,1,[Human] dettare [Proposition]
dichiarare,2,[Human] dichiarare che | di [Proposition] | : [Proposition]
dimenticare,1,[Human] dimenticare [Anything] | che | di [Proposition]
dimostrare,1,[Human] | [Event1] dimostrare [Proposition] che|come | di [Proposition]
dimostrare,5,[Human] dimostrare che [Proposition]
dire,1,[Human] dire : [Proposition] | che [Proposition] | {parola}
dire,2,[Human] | [Institution] dire che | di [Proposition]
dire,5,[Anything1] vuol dire ([Proposition]) [Anything2]
dire,7,dicono | si dice che [Proposition]
dire,8,[Anything1] dire [Anything2] | che|quanto [Proposition] (a [Human])
disperare,3,[Human] disperare che | di [Proposition]
disporre,1,[Human] | [Rule] disporre che | di [Proposition] | [Activity] | [Obligation]
domandare,1,[Human] domandarsi chi|come|cosa|perché|se [Proposition] | : [Proposition]
domandare,2,[Human1] domandare (a [Human2]) chi|come|cosa|perché|se | di [Proposition] | : [Proposition]
escludere,1,[Human] | [Institution] escludere [Concept] | [Uncertainty] | [Opportunity] | [Eventuality] | che | di [Proposition]
escludere,2,[Event] | [Concept] | [Document] escludere [Opportunity] | [Eventuality] | che [Proposition]
esigere,1,[Human] | [Human Group] esigere che | di [Proposition] | [Anything]
evidenziare,1,[Human] | [Document] evidenziare [Eventuality] | [Physical Entity] | [Concept] | [Property] che|come [Proposition]
evidenziare,2,[Human] | [Concept] | [Eventuality1] evidenziare [Eventuality2] | [Information] | [Opportunity] | [Property] | [Responsability] che|come [Proposition]
fare,5,[Human] | [Institution] fare {presente} [Eventuality] | che [Proposition]
figurare,3,figurarsi (se [Proposition])
figurare,4,[Human] figurarsi [Anything] | cosa|come [Proposition]
garantire,2,[Abstract Entity] | [Human1] | [Activity] garantire (a [Human2]) che [Proposition]
giurare,1,[Human] giurare che | di [Proposition] | : [Proposition]
gridare,3,[Human] gridare [Anything {aiuto | slogan}] | che | di [Proposition] | : [Proposition]
ignorare,4,[Human] ignorare che [Proposition]
illudere,2,[Human] | [Human Group] illudersi (che | di [Proposition])
immaginare,1,[Human] immaginare [Anything] | che | di [Proposition]
immaginare,2,[Human] immaginare che [Proposition]
immaginare,3,[Human] immaginarsi [Anything] | che [Proposition]
imparare,1,[Human] imparare come | a [Activity] | che [Proposition]
indicare,2,[Human] indicare [Activity] | [Inanimate] | [Location] | di [Proposition]
indicare,3,[Human] | [Institution] indicare che | di [Proposition]
indirizzare,1,[Human1] indirizzare [Document] | [Proposition] a [Human2] | a [Institution]
indovinare,3,[Human] indovinare [Psych] | [Concept] | che [Proposition]
informare,1,[Human1] | [Institution1] informare [Human2] | [Institution2] (di|su [Eventuality]) | (che [Proposition])
informare,1.m,[Document] | [Device] informare ([Human] | [Institution]) (di|su [Eventuality]) | (che [Proposition])
insegnare,3,[Human1] | [Event] insegnare [Eventuality] | [Abstract Entity] | che [Proposition] a [Human2]
lamentare,2,[Human] | [Human Group] lamentare [Eventuality] | che | di [Proposition]
lamentare,4,[Human] | [Institution] lamentarsi (di|per [Anything]) che [Proposition]
leggere,4,[Human] leggere [Information] | che [Proposition]
leggere,9,si legge che [Proposition] | : [Proposition] | [Information] in [Document] | su {sito}
levare,8,[Proposition : Plural] | {voci} levarsi
masticare,4,[Human] masticare [Proposition] | {parole}
meravigliare,1,[Human] meravigliarsi (di [Anything]) | (se|che [Proposition])
miagolare,3,[Human] miagolare [Proposition] | : [Proposition]
mormorare,1,[Human] mormorare [Proposition] | [Part of Language] | : [Proposition] | che [Proposition]
mormorare,4,si mormora che [Proposition]
mostrare,2,[Entity] mostrare (a [Human]) che|cosa|come | di [Proposition]
narrare,1,[Human1] narrare [Narrative] | che [Proposition] (a [Human2])
narrare,3,[Narrative {leggenda}] narrare che [Proposition]
narrare,4,si narra che [Proposition]
negare,1,[Human] | [Human Group] negare [Concept] | [Eventuality] che | di [Proposition]
notare,1,[Human] notare [Anything] | che [Proposition]
notare,2,[Human] notare : [Proposition]
notare,3,[Human1] | [Institution] fare notare [Anything] | che|come [Proposition] (a [Human2])
ordinare,3,[Human1] | [Institution1] ordinare [Activity] | che | di [Proposition] | : [Proposition] (a [Human2] | a [Institution2])
osservare,1,[Human] osservare che|come|se [Proposition] | : [Proposition]
parere,1,pare (a [Human]) che | di [Proposition]
parere,3,pare a [Human] ([Concept]) | (che [Proposition])
parere,5,[Anything] parere [Proposition]
parere,4,a quanto pare ([Proposition])
pensare,4,[Human] pensare che | di [Proposition]
pensare,5,[Human] pensare (a [Anything]) | (che [Proposition])
persuadere,1,[Human1] | [Event] persuadere [Human2] (di [Eventuality]) | (che | di [Proposition])
persuadere,2,[Human] persuadersi di [Eventuality] | che | di [Proposition]
potere,5,[Entity] | [Event] non potere che [Proposition]
potere,7,può darsi | può essere che [Proposition]
precisare,1,[Human] | [Institution] | [Information] precisare : [Proposition] | che [Proposition] | [Anything]
predicare,4,[Human] | [Human Group] predicare [Concept] | [Activity] | che [Proposition]
prendere,15,[Human] prendere {atto} di [Event] | che [Proposition]
pretendere,1,[Human] | [Human Group] pretendere che | di [Proposition]
pretendere,2,[Human1] pretendere [Abstract Entity] | [Asset] | che | di [Proposition] (da [Human2] | da [Institution])
prevedere,2,[Human] | [Human Group] prevedere [Eventuality] | che | di [Proposition]
pronunciare,1,[Human] pronunciare [Part of Language] | [Proposition]
proporre,2,[Human1] proporre (a [Human2]) [Activity] | [Agreement] | che | di [Proposition]
provare,4,[Human] provare [Abstract Entity] | che [Proposition]
raccomandare,3,[Human1] | [Human Group1] raccomandare (a [Human2] | a [Human Group2]) [Activity] | che | di [Proposition]
raccontare,1,[Human1] raccontare [Concept] | [Event] | che | di [Proposition] (a [Human2])
raccontare,2,[Artwork] | [Document] raccontare [Event] | [Narrative] | [Psych] | [Time Period] | come [Proposition]
raccontare,4,[Artwork] raccontare di [Entity] | di [Event] | di come [Proposition]
recitare,3,[Human] recitare [Document] | [Proposition]
registrare,2,[Human] registrare [Information] | [Proposition]
ribattere,3,[Human] ribattere (che [Proposition]) | (: [Proposition])
ricevere,1,[Human] | [Institution] ricevere [Inanimate] | [Asset] | [Information] | [Speech Act]
riconoscere,2,[Human] riconoscere [Anything] | che | di [Proposition]
riconoscere,3,[Human] riconoscere [Concept] | [Role] | {diritto} | che [Proposition]
ricordare,1,[Human1] ricordare (a [Human2]) che|come|cosa | di [Proposition] | : [Proposition]
ricordare,2,[Human] ricordarsi che | di [Proposition] | di [Anything]
riferire,3,[Human] | [Institution] riferire che [Proposition] | : [Proposition]
rilanciare,3,[Human] | [Institution] rilanciare (con [Proposition] | con [Action]) | ([Proposition]) | (: [Proposition])
rimanere,15,[Human] rimanere dell' {idea | opinione} che [Proposition]
rimbalzare,3,[Information] | [Proposition] rimbalzare
rimbombare,3,[Proposition] | {dubbio} rimbombare (in {testa | cervello | mente | orecchie})
rinfacciare,1,[Human1] rinfacciare a [Human2] [Eventuality] | [Property] | che | di [Proposition]
rinfacciare,2,[Human1] | [Human Group] rinfacciare a [Human2] [Activity] | che | di [Proposition]
rinfacciare,3,[Human : Plural] rinfacciarsi [Abstract Entity] | [Property] | di [Proposition]
ringraziare,3,[Human] ringraziare {il cielo} (che | di|per [Proposition])
ripetere,3,[Human] ripetere : [Proposition] | che | di [Proposition]
riportare,1,[Human] | [Institution] riportare [Anything] | che | di [Proposition] | : [Proposition]
ritenere,1,[Human] | [Institution] ritenere che | di [Proposition]
rivelare,2,[Anything1] rivelare [Anything2] | che [Proposition]
rivelare,3,[Animate] | [Information] rivelare (a [Human]) che | di [Proposition]
sapere,1,[Human] sapere [Information] | che|se|come|cosa|quale [Proposition]
sapere,3,[Human] sapere [Information] | come|quale|cosa [Proposition]
sapere,4,[Human] sapere che | di [Proposition]
scappare,8,(a [Human]) scappare fuori [Proposition] | : [Proposition]
scommettere,2,[Human] scommettere che [Proposition]
scrivere,5,[Human] scrivere [Concept] | che [Proposition] | : [Proposition]
segnalare,1,[Human] | [Institution] segnalare [Eventuality] | che [Proposition]
sentire,4,[Human] sentire che [Proposition]
sentire,7,[Human] sentire ({dire}) [Proposition] | che [Proposition]
sentire,8,[Human] sentire che [Proposition]
smentire,3,[Human] | [Institution] smentire [Proposition]
sognare,1,[Human1] sognare [Physical Entity] | [Human2] | che | di [Proposition]
sognare,3,[Human] sognare [Abstract Entity] | [Physical Entity] | che | di [Proposition]
sollevare,2,[Human] | [Abstract Entity] sollevare [Uncertainty] | [Concept] | [Question] | [Proposition]
sospettare,2,[Human] | [Institution] sospettare [Eventuality] | che | di [Proposition]
sospettare,3,[Human] | [Institution] sospettare [Eventuality] | che [Proposition]
sostenere,1,[Human] | [Institution] sostenere : [Proposition] | che | di [Proposition]
sottolineare,1,[Human] | [Human Group] | [Document] | [Rule] | [Eventuality1] sottolineare [Anything] | che|come [Proposition]
sottomettere,3,[Human1] sottomettere [Proposition] (a [Human2] | a [Institution])
sottoscrivere,4,[Human1] sottoscrivere [Proposition] | [Document] (di [Human2])
sparare,5,[Human] sparare [Proposition {frottole | sciocchezze | cazzate | stronzate}]
sperare,1,[Human] sperare che | di [Proposition]
spiegare,1,[Human1] | [Document] spiegare [Concept] | [Eventuality] | che|come|perché [Proposition] (a [Human2] | a [Human Group])
spiegare,2,[Human1] spiegare : [Proposition] (a [Human2])
stare,17,sta di fatto | fatto sta che [Proposition]
suggerire,1,[Human1] suggerire ([Proposition]) | (: [Proposition]) (a [Human2])
suggerire,3,[Human] suggerire che [Proposition]
temere,1,[Human1] | [Human Group] temere [Event] | [State] | [Human2] | che | di [Proposition]
temere,2,[Human] temere che | di [Proposition]
tollerare,3,[Human] | [Human Group] tollerare [Activity] | [State] | che [Proposition]
trascurare,2,[Human] | [Institution] trascurare [Eventuality] | [Abstract Entity] | che | di [Proposition]
trattare,2,si tratta di [Proposition]
udire,2,[Human] udire ({dire}) [Information] | [Event] | che [Proposition]
vantare,3,[Human] vantarsi (di [Anything]) | (di [Proposition])
vedere,5,[Human] vedere quanto|quale|come [Proposition]
verificare,1,[Human] | [Institution] | [Device] | [Machine] verificare [Eventuality] | [Property] | [Information] | [Numerical Value] | che [Proposition]
volere,1,[Human] volere [Anything] | che [Proposition]
vomitare,2,[Human] vomitare [Proposition] | [Speech Act]
